,Title,Company Name,Location,Date Of Puplication,skills,Salary,Requirements
0,Senior Python / Django Developer -Part Time,"RDI  Dokki, Giza, Egypt
1 day ago","Dokki, Giza, Egypt",1 day ago,"Part Time
Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Django
·
Python
· MySQL
· GIT
· Docker
· javaScript
· Angular
· RESTful APIs",Confidential,"3+ years of on-the-job software engineering experience with a proven track record of delivering highly scalable solutions rapidly.
Solid database skills in a relational database (i.e. PostgresSQL, MySQL, etc.)
Knowledge of how to build and use with RESTful APIs.
Experience with modern JavaScript frameworks such as React.
Proficiency using industry standard 3rd party tools such as Docker.
Strong knowledge of version control (git).
Experience deploying Python applications into production.
Understanding of the threading limitations of Python, and multi-process architecture.
Knowledge of user authentication and authorization between multiple systems, servers, and environments.
Strong unit test and debugging skills.
Google Cloud Platform (GCP) knowledge is a plus.
Experience working in Linux environments and basic shell is a plus."
1,Senior Python Developer,"Dolf  Heliopolis, Cairo, Egypt
7 days ago","Heliopolis, Cairo, Egypt",7 days ago,"Full Time
Experienced · 3 - 5 Yrs of Exp · IT/Software Development
· Computer Science
· CSS
· HTML
· Information Technology (IT)
· JavaScript
· jQuery
· PHP
·
Python
· Software Development",Confidential,"Requirements:
Bachelor’s degree in computer science, Software Engineering, or a related field (or equivalent work experience).
Proven track record of at least 3 years working as a Python Developer, with extensive experience in Django and Open edX.
Strong proficiency in Python programming language, including object-oriented programming (OOP) concepts.
In-depth knowledge and hands-on experience with the Django framework, including ORM, views, templates, and authentication.
Experience in customizing and extending Open edX, including the development of XBlocks, custom themes, and course authoring tools.
Familiarity with learning management systems (LMS) and e-learning standards such as SCORM and xAPI.
Proficiency in front-end technologies such as HTML, CSS, JavaScript, and jQuery.
Experience with version control systems (e.g., Git) and agile development methodologies.
Strong problem-solving skills and the ability to troubleshoot complex issues efficiently.
Excellent communication and collaboration skills, with the ability to work effectively in a team environment.
 A Plus Skills:
Web server administration is a plus.
Familiar with Linux commands is a plus.
Experience with other Python frameworks such as Flask or Pyramid.
Familiarity with DevOps practices and cloud platforms (e.g., AWS, Azure).
Knowledge of front-end frameworks such as React or Angular.
Experience in any of PHP frameworks like (Laravel, CodeIgniter, …) or CMS (Drupal, …)
experience working with MySQL Databases.
knowledge of MySQL database management and administration.
Proficiency in SQL and experience in writing complex queries, stored procedures, and functions.
Familiarity with query optimization techniques and performance tuning.
Experience in database security, backup, and recovery procedures.
Knowledge of database design principles, normalization, and indexing.
Understanding of relational database concepts and best practices.
Experience with other database management systems, such as PostgreSQL or Oracle.
Knowledge of database monitoring and management tools.
Familiarity with cloud-based database services, such as Amazon RDS or Azure Database.
Understanding of data warehousing and business intelligence concepts.
Experience with scripting languages, such as Python or Bash."
2,Senior Python Developer,"Puffin  Sheikh Zayed, Giza, Egypt
8 days ago","Sheikh Zayed, Giza, Egypt",8 days ago,"Full Time
Experienced · IT/Software Development ·
Python
· Node.js
· Software Development
· Computer Science
· Software Engineering
· developer
· Information Technology (IT)
· Web
· web crawling",Confidential,"Requirements:
Proven experience as a Python Developer.
Solid experience with FastAPI, Node.js, and other relevant frameworks.
Expertise in web scraping and web crawling techniques.
Familiarity with third-party library integration.
Excellent problem-solving skills and attention to detail.
Strong communication and teamwork skills.
Nice to Have:
Experience with Docker or other containerization technologies.
Familiarity with cloud platforms like AWS, Google Cloud, or Azure.
Knowledge of CI/CD pipelines and DevOps practices.
Experience with database technologies like PostgreSQL, MongoDB, etc.
Understanding of front-end technologies like React, HTMX, etc is a plus."
3,Full Stack Python Developer,"DBS  Maadi, Cairo, Egypt
5 days ago","Maadi, Cairo, Egypt",5 days ago,"Full Time
Entry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
·
Python",25000 To 26000 EGP Per Month,"Bachelor's Degree in Computer Science, or a related field.
Proven experience in Python & JavaScript programing languages.
Proven experience with one of the following backend frameworks Django/Flask.
Front-end Technologies Html, CSS, JavaScript, React.js, and Bootstrap.
Hands-on experience in DevOps Docker, Docker Compose, Nginx, and Git.
Design client-side and server-side architecture.
Develop and manage well-functioning databases and applications.
Write effective APIs.
Test software to ensure responsiveness and efficiency.
Troubleshoot, debug, and upgrade software.
Create security and data protection settings."
4,Senior Software Engineer (Python),"Tam Development LLC  Riyadh, Saudi Arabia
9 days ago","Riyadh, Saudi Arabia",9 days ago,"Full Time
Work From Home
Experienced · 6 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Computer Science
· engineer
· Information Technology (IT)
· Software Development
· Software Engineering
· Software engineer
· Software
·
Python",Confidential,"Minimum 6 years of experience as a full-time software engineer
4+ years of experience in Python (Django)
Good to have experience in one of the programming languages like GoLang, RoR, Java, PHP
Experience with common monitoring / alerting / logging tools such as Prometheus, New Relic, Datadog, Sentry.
You’ve built complex, high-quality applications, and have a strong knowledge of Domain Driven Design.
You’re proficient in selecting from best practice Design Patterns and Design Principles when building Software Architectures and Algorithms.
Good knowledge of databases (like MySQL, PostgreSQL and NoSQL) and should be aware of normal forms, ACID, isolation levels, index anatomy.
Flexible and comfortable working in a multicultural environment.
Familiar with the following; Docker & Kubernetes, GCP, AWS and caching.
Experienced using TDD approach during development.
Willingness to learn new programming languages and technologies.
 You’ll have the space to learn, grow, and take ownership of your work, and we encourage you to take on projects which both interest and challenge you."
5,Software Engineer (Python),"Tam Development LLC  Riyadh, Saudi Arabia
13 days ago","Riyadh, Saudi Arabia",13 days ago,"Full Time
Work From Home
Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Computer Science
· engineer
· Information Technology (IT)
· Software Development
· Software Engineering
· Software engineer
· Software
·
Python",Confidential,"Minimum 3 years of experience as a full-time software engineer
2+ years of experience in Python (Django)
Good to have experience in one of the programming languages like GoLang, RoR, Java, PHP
Experience with common monitoring / alerting / logging tools such as Prometheus, New Relic, Datadog, Sentry.
You’ve built complex, high-quality applications, and have a strong knowledge of Domain Driven Design.
You’re proficient in selecting from best practice Design Patterns and Design Principles when building Software Architectures and Algorithms.
Good knowledge of databases (like MySQL, PostgreSQL and NoSQL) and should be aware of normal forms, ACID, isolation levels, index anatomy.
Flexible and comfortable working in a multicultural environment.
Familiar with the following; Docker & Kubernetes, GCP, AWS and caching.
Experienced using TDD approach during development.
Willingness to learn new programming languages and technologies.
 You’ll have the space to learn, grow, and take ownership of your work, and we encourage you to take on projects which both interest and challenge you."
6,Senior Python Developer,"WORLD OF BUSINESS  Sidon, Lebanon
3 days ago","Sidon, Lebanon",3 days ago,"Full Time
Experienced · 3 - 4 Yrs of Exp · IT/Software Development
· Azure
· Computer Vision
· pyhton
· artficialintelligence
· Software Development
· Data Structure
· Machine Learning
· Data Analysis
· SQL",20000 To 25000 EGP Per Month," Qualifications
Experience in ( Machine Learning , Computer Vision, robotics )
Have a good knowledge ( Azure cloud service and Rasa)
Excellent communication.
""Take your coding skills to the next level and make an impact with us!""

 "
7,Senior Backend Engineer / Python - Flying Pharmacist,"Yalent  Cairo, Egypt
13 days ago","Cairo, Egypt",13 days ago,"Full Time
Work From Home
Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Software Engineering
· Software Development
·
Python
· AWS
· SQL",Confidential,Null
8,Backend Engineering Manager (Python),"Paymob Solutions  Maadi, Cairo, Egypt
19 days ago","Maadi, Cairo, Egypt",19 days ago,"Full Time
Manager · 9 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other ·
Python
· Django
· Management
· Development
· Engineering
· Software Development",Confidential,"9+ years of solid experience in software engineering, with expertise in Python Django.
Proven track record of successfully managing and delivering complex projects on time and within budget.
Strong leadership skills, with the ability to inspire, motivate, and mentor a team of engineers.
In-depth knowledge of software development methodologies, tools, and best practices.
Excellent problem-solving and decision-making abilities, with a keen eye for detail.
Effective communication skills, both written and verbal, to facilitate clear and efficient collaboration with diverse stakeholders.
Ability to thrive in a fast-paced, dynamic environment and adapt to changing priorities.
Bachelor's Degree in Computer Science, Engineering, or a related field."
9,Senior Python Django Developer,"Itechs  Heliopolis, Cairo, Egypt
21 days ago","Heliopolis, Cairo, Egypt",21 days ago,"Full Time
Experienced · 3 - 5 Yrs of Exp · IT/Software Development
· Development
· CI/CD
· APIs
· Information Technology (IT)
· Software
·
Python
· Software Development
· Programming
· DevOps",Confidential,"3+ years of hands-on experience building sophisticated applications and APIs in Cloud and hybrid cloud environments  
Excellent understanding of microservice architecture and implementation.
Excellent programming in Python, debugging, performance analysis, and test design skills.
Has delivered software in a cloud context and is familiar with the patterns and process of managing cloud infrastructure
Experience designing scalable databases or datastores (MSSQL or equivalent SQL technology)
Passion to collaborate and build supporting development infrastructures like CI/CD and DevOps."
